Far field
"Theta"[deg]	"Phi = 90 deg [dBi]"	"Phi = 0 deg [dBi]"	
-1.80000000E+02	-9.58090278E+00	-9.58090278E+00	
-1.78000000E+02	-9.53516057E+00	-9.59106270E+00	
-1.76000000E+02	-9.52247992E+00	-9.62147305E+00	
-1.74000000E+02	-9.54246340E+00	-9.67192362E+00	
-1.72000000E+02	-9.59482887E+00	-9.74205760E+00	
-1.70000000E+02	-9.67939356E+00	-9.83136180E+00	
-1.68000000E+02	-9.79605737E+00	-9.93915293E+00	
-1.66000000E+02	-9.94478332E+00	-1.00645599E+01	
-1.64000000E+02	-1.01255729E+01	-1.02065022E+01	
-1.62000000E+02	-1.03384330E+01	-1.03636649E+01	
-1.60000000E+02	-1.05833299E+01	-1.05344703E+01	
-1.58000000E+02	-1.08601228E+01	-1.07170487E+01	
-1.56000000E+02	-1.11684695E+01	-1.09092089E+01	
-1.54000000E+02	-1.15076887E+01	-1.11084116E+01	
-1.52000000E+02	-1.18765636E+01	-1.13117511E+01	
-1.50000000E+02	-1.22730609E+01	-1.15159485E+01	
-1.48000000E+02	-1.26939401E+01	-1.17173656E+01	
-1.46000000E+02	-1.31342220E+01	-1.19120438E+01	
-1.44000000E+02	-1.35865036E+01	-1.20957778E+01	
-1.42000000E+02	-1.40401437E+01	-1.22642266E+01	
-1.40000000E+02	-1.44804408E+01	-1.24130637E+01	
-1.38000000E+02	-1.48880929E+01	-1.25381602E+01	
-1.36000000E+02	-1.52394526E+01	-1.26357871E+01	
-1.34000000E+02	-1.55082414E+01	-1.27028162E+01	
-1.32000000E+02	-1.56691631E+01	-1.27368935E+01	
-1.30000000E+02	-1.57029825E+01	-1.27365590E+01	
-1.28000000E+02	-1.56013554E+01	-1.27012956E+01	
-1.26000000E+02	-1.53690811E+01	-1.26314980E+01	
-1.24000000E+02	-1.50225229E+01	-1.25283689E+01	
-1.22000000E+02	-1.45850884E+01	-1.23937605E+01	
-1.20000000E+02	-1.40820352E+01	-1.22299868E+01	
-1.18000000E+02	-1.35365222E+01	-1.20396314E+01	
-1.16000000E+02	-1.29675655E+01	-1.18253747E+01	
-1.14000000E+02	-1.23895676E+01	-1.15898518E+01	
-1.12000000E+02	-1.18127596E+01	-1.13355501E+01	
-1.10000000E+02	-1.12440010E+01	-1.10647433E+01	
-1.08000000E+02	-1.06876107E+01	-1.07794601E+01	
-1.06000000E+02	-1.01460808E+01	-1.04814787E+01	
-1.04000000E+02	-9.62063661E+00	-1.01723390E+01	
-1.02000000E+02	-9.11165197E+00	-9.85336844E+00	
-1.00000000E+02	-8.61894694E+00	-9.52571225E+00	
-9.80000000E+01	-8.14199715E+00	-9.19036698E+00	
-9.60000000E+01	-7.68007835E+00	-8.84821210E+00	
-9.40000000E+01	-7.23236493E+00	-8.50003896E+00	
-9.20000000E+01	-6.79799641E+00	-8.14657558E+00	
-9.00000000E+01	-6.37612141E+00	-7.78850707E+00	
-8.80000000E+01	-5.96592624E+00	-7.42649166E+00	
-8.60000000E+01	-5.56665271E+00	-7.06117261E+00	
-8.40000000E+01	-5.17760872E+00	-6.69318662E+00	
-8.20000000E+01	-4.79817367E+00	-6.32316922E+00	
-8.00000000E+01	-4.42780047E+00	-5.95175774E+00	
-7.80000000E+01	-4.06601524E+00	-5.57959245E+00	
-7.60000000E+01	-3.71241530E+00	-5.20731637E+00	
-7.40000000E+01	-3.36666625E+00	-4.83557406E+00	
-7.20000000E+01	-3.02849824E+00	-4.46500995E+00	
-7.00000000E+01	-2.69770186E+00	-4.09626625E+00	
-6.80000000E+01	-2.37412387E+00	-3.72998087E+00	
-6.60000000E+01	-2.05766272E+00	-3.36678522E+00	
-6.40000000E+01	-1.74826412E+00	-3.00730236E+00	
-6.20000000E+01	-1.44591665E+00	-2.65214514E+00	
-6.00000000E+01	-1.15064752E+00	-2.30191470E+00	
-5.80000000E+01	-8.62518374E-01	-1.95719912E+00	
-5.60000000E+01	-5.81621395E-01	-1.61857233E+00	
-5.40000000E+01	-3.08075462E-01	-1.28659315E+00	
-5.20000000E+01	-4.20225768E-02	-9.61804562E-01	
-5.00000000E+01	2.16375549E-01	-6.44733100E-01	
-4.80000000E+01	4.66940697E-01	-3.35888329E-01	
-4.60000000E+01	7.09481153E-01	-3.57624473E-02	
-4.40000000E+01	9.43794529E-01	2.55170059E-01	
-4.20000000E+01	1.16967039E+00	5.36452707E-01	
-4.00000000E+01	1.38689272E+00	8.07647270E-01	
-3.80000000E+01	1.59524216E+00	1.06833401E+00	
-3.60000000E+01	1.79449816E+00	1.31811191E+00	
-3.40000000E+01	1.98444090E+00	1.55659885E+00	
-3.20000000E+01	2.16485310E+00	1.78343183E+00	
-3.00000000E+01	2.33552167E+00	1.99826719E+00	
-2.80000000E+01	2.49623922E+00	2.20078077E+00	
-2.60000000E+01	2.64680548E+00	2.39066816E+00	
-2.40000000E+01	2.78702855E+00	2.56764485E+00	
-2.20000000E+01	2.91672605E+00	2.73144647E+00	
-2.00000000E+01	3.03572620E+00	2.88182895E+00	
-1.80000000E+01	3.14386874E+00	3.01856875E+00	
-1.60000000E+01	3.24100581E+00	3.14146299E+00	
-1.40000000E+01	3.32700271E+00	3.25032967E+00	
-1.20000000E+01	3.40173857E+00	3.34500778E+00	
-1.00000000E+01	3.46510696E+00	3.42535749E+00	
-8.00000000E+00	3.51701639E+00	3.49126023E+00	
-6.00000000E+00	3.55739080E+00	3.54261885E+00	
-4.00000000E+00	3.58616985E+00	3.57935769E+00	
-2.00000000E+00	3.60330932E+00	3.60142265E+00	
0.00000000E+00	3.60878125E+00	3.60878125E+00	
2.00000000E+00	3.60257418E+00	3.60142265E+00	
4.00000000E+00	3.58469318E+00	3.57935769E+00	
6.00000000E+00	3.55515993E+00	3.54261885E+00	
8.00000000E+00	3.51401266E+00	3.49126023E+00	
1.00000000E+01	3.46130603E+00	3.42535749E+00	
1.20000000E+01	3.39711097E+00	3.34500778E+00	
1.40000000E+01	3.32151443E+00	3.25032967E+00	
1.60000000E+01	3.23461907E+00	3.14146299E+00	
1.80000000E+01	3.13654282E+00	3.01856875E+00	
2.00000000E+01	3.02741846E+00	2.88182895E+00	
2.20000000E+01	2.90739300E+00	2.73144647E+00	
2.40000000E+01	2.77662706E+00	2.56764485E+00	
2.60000000E+01	2.63529414E+00	2.39066816E+00	
2.80000000E+01	2.48357973E+00	2.20078077E+00	
3.00000000E+01	2.32168037E+00	1.99826719E+00	
3.20000000E+01	2.14980260E+00	1.78343183E+00	
3.40000000E+01	1.96816174E+00	1.55659885E+00	
3.60000000E+01	1.77698058E+00	1.31811191E+00	
3.80000000E+01	1.57648788E+00	1.06833401E+00	
4.00000000E+01	1.36691675E+00	8.07647268E-01	
4.20000000E+01	1.14850287E+00	5.36452705E-01	
4.40000000E+01	9.21482473E-01	2.55170058E-01	
4.60000000E+01	6.86090170E-01	-3.57624478E-02	
4.80000000E+01	4.42556575E-01	-3.35888329E-01	
5.00000000E+01	1.91105667E-01	-6.44733100E-01	
5.20000000E+01	-6.80480776E-02	-9.61804561E-01	
5.40000000E+01	-3.34702825E-01	-1.28659315E+00	
5.60000000E+01	-6.08672803E-01	-1.61857233E+00	
5.80000000E+01	-8.89792035E-01	-1.95719912E+00	
6.00000000E+01	-1.17791840E+00	-2.30191470E+00	
6.20000000E+01	-1.47293806E+00	-2.65214514E+00	
6.40000000E+01	-1.77477025E+00	-3.00730236E+00	
6.60000000E+01	-2.08337250E+00	-3.36678522E+00	
6.80000000E+01	-2.39874632E+00	-3.72998087E+00	
7.00000000E+01	-2.72094337E+00	-4.09626626E+00	
7.20000000E+01	-3.05007217E+00	-4.46500995E+00	
7.40000000E+01	-3.38630543E+00	-4.83557406E+00	
7.60000000E+01	-3.72988806E+00	-5.20731637E+00	
7.80000000E+01	-4.08114598E+00	-5.57959246E+00	
8.00000000E+01	-4.44049585E+00	-5.95175774E+00	
8.20000000E+01	-4.80845573E+00	-6.32316922E+00	
8.40000000E+01	-5.18565720E+00	-6.69318662E+00	
8.60000000E+01	-5.57285872E+00	-7.06117261E+00	
8.80000000E+01	-5.97096097E+00	-7.42649165E+00	
9.00000000E+01	-6.38102418E+00	-7.78850707E+00	
9.20000000E+01	-6.80428816E+00	-8.14657558E+00	
9.40000000E+01	-7.24219550E+00	-8.50003896E+00	
9.60000000E+01	-7.69641852E+00	-8.84821211E+00	
9.80000000E+01	-8.16889099E+00	-9.19036698E+00	
1.00000000E+02	-8.66184521E+00	-9.52571226E+00	
1.02000000E+02	-9.17785568E+00	-9.85336844E+00	
1.04000000E+02	-9.71988973E+00	-1.01723391E+01	
1.06000000E+02	-1.02913655E+01	-1.04814787E+01	
1.08000000E+02	-1.08962157E+01	-1.07794601E+01	
1.10000000E+02	-1.15389528E+01	-1.10647433E+01	
1.12000000E+02	-1.22247231E+01	-1.13355501E+01	
1.14000000E+02	-1.29593232E+01	-1.15898518E+01	
1.16000000E+02	-1.37491194E+01	-1.18253746E+01	
1.18000000E+02	-1.46007433E+01	-1.20396314E+01	
1.20000000E+02	-1.55202967E+01	-1.22299867E+01	
1.22000000E+02	-1.65115031E+01	-1.23937605E+01	
1.24000000E+02	-1.75716681E+01	-1.25283689E+01	
1.26000000E+02	-1.86833344E+01	-1.26314980E+01	
1.28000000E+02	-1.97986404E+01	-1.27012956E+01	
1.30000000E+02	-2.08161613E+01	-1.27365590E+01	
1.32000000E+02	-2.15669427E+01	-1.27368935E+01	
1.34000000E+02	-2.18593572E+01	-1.27028162E+01	
1.36000000E+02	-2.16054937E+01	-1.26357871E+01	
1.38000000E+02	-2.09007629E+01	-1.25381602E+01	
1.40000000E+02	-1.99391075E+01	-1.24130637E+01	
1.42000000E+02	-1.88883894E+01	-1.22642266E+01	
1.44000000E+02	-1.78487824E+01	-1.20957778E+01	
1.46000000E+02	-1.68677886E+01	-1.19120438E+01	
1.48000000E+02	-1.59632372E+01	-1.17173656E+01	
1.50000000E+02	-1.51385997E+01	-1.15159485E+01	
1.52000000E+02	-1.43911176E+01	-1.13117511E+01	
1.54000000E+02	-1.37157248E+01	-1.11084116E+01	
1.56000000E+02	-1.31068373E+01	-1.09092089E+01	
1.58000000E+02	-1.25591203E+01	-1.07170487E+01	
1.60000000E+02	-1.20677777E+01	-1.05344703E+01	
