Far field
"Theta"[deg]	"Phi = 90 deg [dBi]"	"Phi = 0 deg [dBi]"	
2.80000000E+01	2.62788243E+00	2.34268969E+00	
3.00000000E+01	2.46221862E+00	2.13496254E+00	
3.20000000E+01	2.28645897E+00	1.91458430E+00	
3.40000000E+01	2.10083613E+00	1.68188488E+00	
3.60000000E+01	1.90559159E+00	1.43721400E+00	
3.80000000E+01	1.70097428E+00	1.18094104E+00	
4.00000000E+01	1.48723896E+00	9.13454807E-01	
4.20000000E+01	1.26464449E+00	6.35163383E-01	
4.40000000E+01	1.03345188E+00	3.46493909E-01	
4.60000000E+01	7.93922199E-01	4.78924189E-02	
4.80000000E+01	5.46314172E-01	-2.60176348E-01	
5.00000000E+01	2.90881653E-01	-5.77229157E-01	
5.20000000E+01	2.78707677E-02	-9.02764499E-01	
5.40000000E+01	-2.42483179E-01	-1.23626287E+00	
5.60000000E+01	-5.19959095E-01	-1.57718709E+00	
5.80000000E+01	-8.04353802E-01	-1.92498276E+00	
6.00000000E+01	-1.09548608E+00	-2.27907874E+00	
6.20000000E+01	-1.39320107E+00	-2.63888788E+00	
6.40000000E+01	-1.69737506E+00	-3.00380792E+00	
6.60000000E+01	-2.00792068E+00	-3.37322251E+00	
6.80000000E+01	-2.32479260E+00	-3.74650268E+00	
7.00000000E+01	-2.64799361E+00	-4.12300843E+00	
7.20000000E+01	-2.97758139E+00	-4.50209074E+00	
7.40000000E+01	-3.31367570E+00	-4.88309388E+00	
7.60000000E+01	-3.65646638E+00	-5.26535799E+00	
7.80000000E+01	-4.00622199E+00	-5.64822188E+00	
8.00000000E+01	-4.36329934E+00	-6.03102602E+00	
8.20000000E+01	-4.72815405E+00	-6.41311529E+00	
8.40000000E+01	-5.10135217E+00	-6.79384160E+00	
8.60000000E+01	-5.48358328E+00	-7.17256563E+00	
8.80000000E+01	-5.87567521E+00	-7.54865758E+00	
9.00000000E+01	-6.27861082E+00	-7.92149614E+00	
9.20000000E+01	-6.69354725E+00	-8.29046523E+00	
9.40000000E+01	-7.12183825E+00	-8.65494758E+00	
9.60000000E+01	-7.56506033E+00	-9.01431467E+00	
9.80000000E+01	-8.02504365E+00	-9.36791203E+00	
1.00000000E+02	-8.50390872E+00	-9.71503947E+00	
1.02000000E+02	-9.00411029E+00	-1.00549257E+01	
1.04000000E+02	-9.52849000E+00	-1.03866972E+01	
1.06000000E+02	-1.00803393E+01	-1.07093424E+01	
1.08000000E+02	-1.06634743E+01	-1.10216714E+01	
1.10000000E+02	-1.12823223E+01	-1.13222749E+01	
1.12000000E+02	-1.19420182E+01	-1.16094859E+01	
1.14000000E+02	-1.26485017E+01	-1.18813487E+01	
1.16000000E+02	-1.34085903E+01	-1.21356045E+01	
1.18000000E+02	-1.42299688E+01	-1.23697012E+01	
1.20000000E+02	-1.51209607E+01	-1.25808374E+01	
1.22000000E+02	-1.60897687E+01	-1.27660497E+01	
1.24000000E+02	-1.71424889E+01	-1.29223475E+01	
